행정구역별(1),행정구역별(2),1월,1월,2월,2월,3월,3월,4월,4월,5월,5월,6월,6월,7월,7월,8월,8월,9월,9월,10월,10월,11월,11월,12월,12월
행정구역별(1),행정구역별(2),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡)
경기도,고양시 덕양구,1732,136,1071,76,958,71,979,63,651,49,2278,176,3038,212,695,49,593,42,603,42,1304,90,1570,114
경기도,고양시 일산동구,568,53,551,49,554,50,443,30,438,41,1104,98,786,73,373,34,313,28,419,37,601,54,892,74
경기도,고양시 일산서구,686,63,692,63,711,65,450,38,510,44,1791,163,1257,116,565,52,487,41,536,46,956,81,1525,118
경기도,과천시,58,4,43,3,44,2,390,22,606,28,89,6,119,8,56,3,540,47,107,5,171,9,1914,162
경기도,구리시,488,35,608,44,494,37,164,12,177,12,300,22,521,38,263,18,636,44,176,12,143,10,270,20
경기도,남양주시,2202,164,1910,157,2336,191,1536,116,1354,109,3156,254,2380,194,1257,101,1084,86,1446,107,1219,95,2670,214
경기도,오산시,522,38,940,75,1064,82,462,35,658,47,1161,88,932,64,447,35,630,54,785,50,557,39,750,51
경기도,시흥시,3366,258,3662,285,4731,338,3062,240,2660,190,3082,210,1955,131,1325,96,2849,202,2071,143,1149,73,1711,117
경기도,군포시,594,40,1389,98,1766,123,433,30,416,29,1001,71,649,46,256,18,284,20,312,22,300,21,741,52
경기도,의왕시,1265,103,1081,84,647,51,205,15,386,27,330,24,422,32,202,16,149,12,153,11,159,12,452,34
경기도,하남시,659,43,514,36,681,44,957,80,357,22,609,43,3121,246,550,38,365,24,326,22,322,23,1251,100
경기도,용인시,3842,328,4648,434,3681,322,1404,118,1626,146,3399,308,3885,351,2243,201,2437,208,1770,153,1864,157,3171,282
경기도,용인시 처인구,1065,71,461,41,1169,84,276,22,299,23,459,37,619,46,427,32,515,39,320,24,348,26,508,36
경기도,용인시 기흥구,1309,115,2061,187,1444,136,573,51,677,63,1425,130,1597,146,945,85,1299,106,740,60,659,60,1220,111
경기도,용인시 수지구,1468,142,2126,206,1068,102,555,46,650,60,1515,141,1669,159,871,83,623,62,710,69,857,71,1443,135
경기도,파주시,656,51,753,60,842,67,553,44,1066,72,1285,102,1799,141,1712,149,1680,145,4448,382,2029,166,3768,288
경기도,이천시,285,21,287,21,303,22,229,18,326,25,308,23,408,29,242,18,269,20,254,19,305,22,383,28
경기도,안성시,249,16,366,24,462,31,352,24,389,27,771,55,1384,91,296,20,461,32,456,32,493,34,992,65
경기도,김포시,974,83,1360,110,1637,136,860,73,1188,96,2903,230,3153,257,2158,175,2087,178,3006,249,2634,203,1331,103
경기도,화성시,3507,288,4492,364,2570,210,1100,87,1726,127,3805,294,4200,341,1754,130,1189,91,4341,350,3202,226,5473,417
경기도,광주시,480,39,645,51,1050,82,506,42,546,46,967,81,791,67,664,57,1446,117,692,52,989,77,643,49
경기도,양주시,689,56,3179,268,826,71,1212,94,1516,109,3098,255,1929,156,2904,222,1543,112,1375,105,1064,82,1323,98
경기도,포천시,83,6,129,9,108,8,81,6,69,5,322,22,389,26,110,8,103,7,107,8,131,9,173,12
